Date,Hang Seng Index,SSE Composite Index,ASX All Ordinaries,India S&P BSE SENSEX,TOPIX,KOSPI Composite Index,Taiwan TAIEX,FTSE Bursa Malaysia KLCI,FTSE Straits Times Index,Philippines PSE PSEi,NEW ZEALAND NZX 50(CAP),Thailand SET,Euro STOXX,FTSE 100,France CAC 40,Germany DAX (TR),FTSE MIB,Belgium BEL-20,Ireland ISEQ Overall,Netherlands AEX,Norway OSE OBX TR,Spain IBEX 35,OMX Stockholm 30,Switzerland SMI (PR),Austria ATX,OMX Copenhagen 20,OMX Helsinki 25,Portugal PSI 20,Russia RTS,Czech Republic PX - 50,Hungary BUX,Poland WIG,Turkey BIST 100,S&P 500,DJ Industrial Average,Colombia IGBC,Canada S&P/TSX Composite,Brazil Bovespa Index,Mexico IPC,Israel TA-125,Saudi Arabia All Share (TASI),FTSE JSE All Share,Abu Dhabi Securities Exchange
20100101,21872.5,3277.139,4882.7,17464.81,907.59,1682.77,8188.11,1272.78,2897.62,3052.68,2140.42,734.54,274.74,5412.88,3936.33,5957.43,23248.39,2511.62,2974.93,335.33,339.32443,11940,951.7187,6545.91,2495.56,336.6917,2032.585,8463.85,1444.61,1117.3,21227.01,39985.99,52825.02,1115.1,10428.05,11602.14,11746.11,68588.41,32120.47,1064.98,6121.76,27666.45,2743.61
20100104,21823.28,3243.76,4889.8,17558.73,915.75,1696.14,8207.85,1275.75,2894.55,3005.01,2140.42,732.28,279.71,5500.34,4013.97,6048.3,23545.02,2563.97,3097.76,343.03,347.69928,12145.1,963.5601,6631.44,2537,347.8489,2078.6897,8602.44,1444.61,1132.5,21561.77,40775.24,53368.16,1132.99,10583.96,11641.37,11866.9,70045.08,32758.53,1089.34,6201.76,27895.19,2758.09
20100105,22279.58,3282.179,4939.5,17686.24,919.57,1690.62,8211.4,1288.24,2920.28,3028.46,2165.63,732.11,280.14,5522.5,4012.91,6031.86,23555.73,2587.77,3071.52,342.02,348.02188,12204.4,967.2722,6579.26,2593.65,345.1418,2084.5603,8677.69,1444.61,1149.7,22043.62,41052,54115.05,1136.52,10572.02,11628.92,11888.08,70239.82,32732.76,1098.2,6239.1,27998.87,2774.5
20100106,22416.67,3254.215,4946.8,17701.13,931.13,1705.32,8327.62,1293.17,2930.49,3039.93,2167.87,735.73,280.47,5530.04,4017.67,6034.33,23622.29,2596.43,3087.93,341.48,346.52576,12222.5,967.2722,6559.41,2593.65,346.3746,2084.5603,8680.3,1444.61,1156.7,22164.72,41241.97,54547.36,1137.14,10573.68,11626.59,11944.54,70729.34,32830.16,1098.31,6260.9,28080.36,2766.53
20100107,22269.45,3192.776,4930.5,17615.72,931.85,1683.45,8237.42,1291.42,2913.25,3077.78,2176.65,734.63,280.41,5526.72,4024.8,6019.36,23709.01,2590.68,3070.47,340.55,347.84793,12166.3,965.8213,6555.36,2590.62,351.2813,2097.5298,8763.93,1444.61,1152.7,21961.18,40817.54,54972.94,1141.695,10606.86,11594.89,11887.51,70451.12,33064.57,1094.04,6260.9,28017.81,2775.5
20100108,22296.75,3195.997,4942.2,17540.29,941.29,1695.26,8280.9,1292.98,2922.76,3077.18,2193.49,738.96,281.41,5534.24,4045.14,6037.61,23811.13,2591.64,3080.75,341.94,349.43643,12163,973.4422,6617.88,2588.49,353.2317,2108.1091,8839.75,1444.61,1157.2,22197.11,40921.93,54797.9,1144.98,10618.19,11647.21,11953.83,70262.7,32892.04,1094.04,6260.9,28266.54,2775.5
20100111,22411.52,3212.75,4981.2,17526.71,941.29,1694.12,8323.82,1294.51,2933.53,3087.35,2189.2,746.95,280.89,5538.07,4043.09,6040.5,23774.76,2585.86,3099.68,340.52,350.80872,12074.5,978.1778,6592.26,2660.39,359.541,2090.7432,8821.6,1553.06,1182.6,22962.52,41342.62,53921.06,1146.98,10663.99,11647.21,11947.13,70433.49,32935.38,1100.22,6291.39,28346.78,2775.22
20100112,22326.64,3273.966,4931.6,17422.51,954.13,1698.64,8309.37,1292.85,2916.11,3105.62,2180.28,745.24,277.5,5498.71,4000.05,5943,23583.35,2565.05,3053.97,336.77,343.75772,11966.1,969.5505,6541.9,2630.92,356.7329,2050.2358,8733.64,1535.78,1176.6,22659.62,40961.16,53676.35,1136.22,10627.26,11575.9,11820.18,70075.78,32792.66,1074.74,6266.26,28057.68,2758.25
20100113,21748.6,3172.658,4900.1,17509.8,944.02,1671.41,8196.56,1289.51,2888.38,3096.7,2170.94,746.74,278.08,5473.48,4000.86,5963.14,23658.4,2575.11,3087.85,338.18,344.12625,11958.3,974.9592,6554.55,2651.84,356.528,2061.9102,8739.85,1538.43,1184.6,22735.33,41140.46,54627.19,1145.68,10680.77,11639.21,11853.56,70385.47,32836.08,1082.57,6262.83,28067,2713.64
20100114,21716.95,3215.55,4929.4,17584.87,959.01,1685.77,8289.98,1294.71,2909.52,3121.91,2172.36,749.42,279.38,5498.2,4015.77,5988.88,23805.99,2571.37,3110.85,340.61,348.0963,11999.8,981.5023,6627.42,2702.49,361.7919,2077.4395,8697.31,1561.91,1199,22981.48,41088.61,54740.6,1148.46,10710.55,11709.91,11804.38,69801.42,32729.58,1080.09,6262.83,28141.8,2707.2
